ID,EXTERNAL_ID,STEPS,SUBMISSION_TIME,UPDATED_AT
5793251,10103,7735,"2023-04-02T17:04:51.000+0200","2023-04-02T15:05:02.813+0200"
5621645,10103,5715,"2023-02-20T18:43:46.000+0100","2023-02-20T17:43:52.979+0100"
5829539,10103,7639,"2023-04-10T02:00:00.000+0200","2023-04-11T06:17:06.072+0200"
5602180,10103,7321,"2023-02-16T17:59:43.000+0100","2023-02-16T16:59:55.068+0100"
5658612,10103,10391,"2023-03-01T18:02:54.000+0100","2023-03-01T17:03:02.376+0100"
5892309,10103,7617,"2023-04-25T20:55:32.000+0200","2023-04-25T18:55:39.642+0200"
5778096,10103,8170,"2023-03-29T21:05:07.000+0200","2023-03-29T19:05:14.208+0200"
5856845,10103,9421,"2023-04-17T20:31:02.000+0200","2023-04-17T18:31:09.616+0200"
5597959,10103,6385,"2023-02-15T18:57:12.000+0100","2023-02-15T17:57:21.051+0100"
5658611,10103,1391,"2023-03-01T18:02:23.000+0100","2023-03-01T17:02:29.331+0100"
5616308,10103,6358,"2023-02-18T01:00:00.000+0100","2023-02-19T08:52:04.482+0100"
5633965,10103,8418,"2023-02-23T19:03:54.000+0100","2023-02-23T18:04:01.141+0100"
5722822,10103,7120,"2023-03-16T18:55:00.000+0100","2023-03-16T17:55:06.986+0100"
5995111,10103,16773,"2023-05-19T02:00:00.000+0200","2023-05-20T14:35:36.954+0200"
5942802,10103,8090,"2023-05-06T02:00:00.000+0200","2023-05-07T10:27:53.837+0200"
5771546,10103,12568,"2023-03-27T02:00:00.000+0200","2023-03-28T04:38:29.067+0200"
5808314,10103,10132,"2023-04-06T01:04:32.000+0200","2023-04-05T23:04:43.809+0200"
5740997,10103,12399,"2023-03-20T21:43:58.000+0100","2023-03-20T20:44:06.915+0100"
5804164,10103,11652,"2023-04-05T01:10:40.000+0200","2023-04-04T23:10:46.251+0200"
5754000,10103,13953,"2023-03-23T21:44:06.000+0100","2023-03-23T20:44:13.021+0100"
5714523,10103,6585,"2023-03-14T19:45:51.000+0100","2023-03-14T18:45:58.830+0100"
5731694,10103,14810,"2023-03-18T19:56:55.000+0100","2023-03-18T18:57:04.091+0100"
5594869,10103,5325,"2023-02-14T01:00:00.000+0100","2023-02-14T18:29:14.507+0100"
5629944,10103,8439,"2023-02-22T19:28:58.000+0100","2023-02-22T18:29:05.980+0100"
